DATETIME, Mount Head Flow
2019-06-04 11:26:43:15,-0.687
2019-06-04 11:26:43:18,-0.687
2019-06-04 11:26:43:19,-0.687
2019-06-04 11:26:43:22,-0.687
2019-06-04 11:26:43:25,-0.687
2019-06-04 11:26:43:27,-0.687
2019-06-04 11:26:43:30,-0.687
2019-06-04 11:26:43:33,-0.687
2019-06-04 11:26:43:35,-0.687
2019-06-04 11:26:43:36,-0.687
2019-06-04 11:26:43:39,-0.687
2019-06-04 11:26:43:41,-0.687
2019-06-04 11:26:43:43,-0.687
2019-06-04 11:26:43:44,-0.687
2019-06-04 11:26:43:46,-0.687
2019-06-04 11:26:43:47,-0.687
2019-06-04 11:26:43:50,-0.687
2019-06-04 11:26:43:52,-0.687
2019-06-04 11:26:43:54,-0.687
2019-06-04 11:26:43:55,-0.687
2019-06-04 11:26:43:57,-0.687
2019-06-04 11:26:43:58,-0.687
2019-06-04 11:26:43:61,-0.687
2019-06-04 11:26:43:64,-0.687
2019-06-04 11:26:43:66,-0.687
2019-06-04 11:26:43:68,-0.687
2019-06-04 11:26:43:69,-0.687
2019-06-04 11:26:43:72,-0.687
2019-06-04 11:26:43:74,-0.687
2019-06-04 11:26:43:75,-0.687
2019-06-04 11:26:43:77,-0.687
2019-06-04 11:26:43:78,-0.687
2019-06-04 11:26:43:80,-0.687
2019-06-04 11:26:43:83,-0.687
2019-06-04 11:26:43:85,-0.687
2019-06-04 11:26:43:86,-0.687
2019-06-04 11:26:43:88,-0.687
2019-06-04 11:26:43:89,-0.687
2019-06-04 11:26:43:91,-0.687
2019-06-04 11:26:43:94,-0.687
2019-06-04 11:26:43:97,-0.687
2019-06-04 11:26:44:13,-0.681
2019-06-04 11:26:44:14,-0.681
2019-06-04 11:26:44:17,-0.681
2019-06-04 11:26:44:19,-0.681
2019-06-04 11:26:44:22,-0.681
2019-06-04 11:26:44:25,-0.681
2019-06-04 11:26:44:27,-0.681
2019-06-04 11:26:44:30,-0.681
2019-06-04 11:26:44:32,-0.681
2019-06-04 11:26:44:33,-0.681
2019-06-04 11:26:44:35,-0.681
2019-06-04 11:26:44:38,-0.681
2019-06-04 11:26:44:39,-0.681
2019-06-04 11:26:44:41,-0.681
2019-06-04 11:26:44:42,-0.681
2019-06-04 11:26:44:44,-0.681
2019-06-04 11:26:44:46,-0.681
2019-06-04 11:26:44:49,-0.681
2019-06-04 11:26:44:50,-0.681
2019-06-04 11:26:44:52,-0.681
2019-06-04 11:26:44:53,-0.681
2019-06-04 11:26:44:55,-0.681
2019-06-04 11:26:44:56,-0.681
2019-06-04 11:26:44:60,-0.681
2019-06-04 11:26:44:63,-0.681
2019-06-04 11:26:44:64,-0.681
2019-06-04 11:26:44:66,-0.681
2019-06-04 11:26:44:67,-0.681
2019-06-04 11:26:44:71,-0.681
2019-06-04 11:26:44:72,-0.681
2019-06-04 11:26:44:74,-0.681
2019-06-04 11:26:44:75,-0.681
2019-06-04 11:26:44:77,-0.681
2019-06-04 11:26:44:78,-0.681
2019-06-04 11:26:44:81,-0.681
2019-06-04 11:26:44:83,-0.681
2019-06-04 11:26:44:85,-0.681
2019-06-04 11:26:44:86,-0.681
2019-06-04 11:26:44:88,-0.681
2019-06-04 11:26:44:91,-0.681
2019-06-04 11:26:44:94,-0.681
2019-06-04 11:26:44:97,-0.681
2019-06-04 11:26:44:99,-0.681
2019-06-04 11:26:45:02,-0.681
2019-06-04 11:26:45:03,-0.681
2019-06-04 11:26:45:06,-0.681
2019-06-04 11:26:45:27,-0.683
2019-06-04 11:26:45:30,-0.683
2019-06-04 11:26:45:33,-0.683
2019-06-04 11:26:45:34,-0.683
2019-06-04 11:26:45:38,-0.683
2019-06-04 11:26:45:41,-0.683
2019-06-04 11:26:45:42,-0.683
2019-06-04 11:26:45:45,-0.683
2019-06-04 11:26:45:47,-0.683
2019-06-04 11:26:45:50,-0.683
2019-06-04 11:26:45:52,-0.683
2019-06-04 11:26:45:53,-0.683
2019-06-04 11:26:45:55,-0.683
2019-06-04 11:26:45:58,-0.683
2019-06-04 11:26:45:61,-0.683
2019-06-04 11:26:45:63,-0.683
2019-06-04 11:26:45:64,-0.683
